Chicken,4155.29,214,Walmart
Watermelon,1458.97,22,Big Lots
Curry,946.79,246,Walmart
Watermelon,1381.34,115,Trader Joe
Curry,2460.38,99,Whole Foods
Salad,1142.66,139,Big Lots
Bacon,1787.34,202,Trader Joe
Bacon,3559.67,202,Aldi
Bacon,2707.31,80,Trader Joe
Burrito,1167.27,233,Trader Joe
Burrito,2394.79,250,Whole Foods
Curry,3944.16,5,Aldi
Sandwich,2905.40,189,Aldi
Salad,3430.82,125,Aldi
Watermelon,217.78,131,Big Lots
Burrito,2429.84,56,Walmart
Chocolate,3766.51,98,Big Lots
Potatoe,4027.43,30,Walmart
Pizza,4122.23,109,Big Lots
Watermelon,1940.30,71,Whole Foods
Steak,3517.27,58,Aldi
Hamburger,1627.69,121,Whole Foods
Burrito,3558.71,103,Whole Foods
Curry,4161.75,26,Walmart
Sandwich,1003.81,123,Target
Chicken,4743.99,235,Walmart
Watermelon,3439.94,24,Aldi
Hamburger,354.64,41,Trader Joe
Watermelon,839.60,4,Big Lots
Potatoe,3156.22,204,Whole Foods
Cheese,330.35,188,Walmart
Bacon,416.56,15,Whole Foods
Cheese,2761.30,98,Walmart
Chocolate,3909.28,65,Aldi
Burrito,3760.92,119,Big Lots
Chicken,4171.65,170,Trader Joe
Hamburger,2906.77,176,Target
Sandwich,4726.61,137,Whole Foods
Salad,3465.24,194,Walmart
Salad,62.62,152,Walmart
Chocolate,3418.57,246,Target
Salad,1487.99,244,Target
Chocolate,1453.56,196,Target
Bacon,2522.19,240,Walmart
Sandwich,1831.46,76,Aldi
Cheese,3721.89,66,Trader Joe
Hamburger,2749.98,219,Aldi
Steak,3898.63,182,Aldi
Pizza,1386.48,120,Walmart
Bacon,1199.07,93,Aldi
Potatoe,165.44,125,Trader Joe
Spaghetti,3298.56,6,Trader Joe
Salad,4196.16,117,Walmart
Steak,1937.71,245,Big Lots
Watermelon,1830.10,59,Trader Joe
Curry,3247.96,148,Aldi
Chicken,3073.09,66,Big Lots
Pizza,511.34,185,Target
Chocolate,4293.90,148,Big Lots
Bacon,3546.54,17,Walmart
Curry,3020.03,222,Trader Joe
Steak,3932.59,154,Trader Joe
Bacon,2315.10,229,Target
Burrito,248.92,77,Whole Foods
Pizza,2067.61,237,Target
Hamburger,4012.90,172,Big Lots
Watermelon,208.10,230,Big Lots
Chicken,1451.94,46,Big Lots
Curry,3211.13,49,Trader Joe
Potatoe,2524.80,179,Aldi
Cheese,3928.52,155,Target
Bacon,4311.57,2,Big Lots
Cheese,4166.67,86,Walmart
Chocolate,3203.51,238,Walmart
Spaghetti,2998.57,111,Big Lots
Chocolate,1240.03,241,Whole Foods
Potatoe,558.52,79,Aldi
Cheese,4940.46,196,Trader Joe
Bacon,3464.75,68,Target
Hamburger,3400.60,53,Big Lots
Potatoe,161.63,12,Big Lots
Salad,687.11,191,Walmart
Hamburger,2341.22,13,Whole Foods
Chocolate,3919.91,7,Trader Joe
Bacon,4746.20,201,Walmart
Bacon,4851.24,177,Big Lots
Chicken,1742.90,22,Target
Curry,776.30,124,Walmart
Steak,4222.98,101,Walmart
Steak,4644.45,66,Trader Joe
Potatoe,1852.43,32,Big Lots
Burrito,3543.98,92,Trader Joe
Bacon,927.86,54,Trader Joe
Cheese,45.51,32,Trader Joe
Salad,955.97,115,Whole Foods
Sandwich,4915.39,202,Aldi
Salad,4607.32,119,Target
Burrito,403.14,212,Big Lots
Spaghetti,2424.34,87,Aldi
Spaghetti,4156.53,88,Walmart
Hamburger,275.69,7,Aldi
Sandwich,281.70,53,Aldi
Potatoe,2591.91,229,Big Lots
Watermelon,2655.60,190,Big Lots
Curry,2259.59,164,Whole Foods
Sandwich,4917.95,68,Aldi
Chicken,4309.86,50,Big Lots
Chicken,1329.96,72,Trader Joe
Salad,3778.99,19,Aldi
Sandwich,4265.03,113,Target
Hamburger,1577.92,109,Trader Joe
Cheese,2760.56,146,Walmart
Bacon,2468.94,188,Aldi
Burrito,191.90,8,Walmart
Curry,226.82,164,Big Lots
Potatoe,3474.39,57,Trader Joe
Salad,2764.44,238,Walmart
Chicken,1852.48,165,Target
Chocolate,1341.14,74,Big Lots
Spaghetti,3283.48,19,Whole Foods
Pizza,989.81,2,Aldi
Cheese,1534.12,220,Walmart
Pizza,4911.06,6,Big Lots
Salad,4542.70,66,Big Lots
Salad,1479.30,223,Trader Joe
Salad,667.14,57,Walmart
Curry,818.83,76,Aldi
Cheese,1341.46,139,Whole Foods
Hamburger,3768.81,246,Walmart
Steak,2074.80,238,Aldi
Bacon,3992.91,42,Trader Joe
Steak,367.70,241,Whole Foods
Cheese,632.34,237,Walmart
Chocolate,4778.85,164,Aldi
Hamburger,1949.37,85,Whole Foods
Burrito,997.61,184,Target
Chicken,945.33,139,Whole Foods
Curry,1216.29,4,Big Lots
Chocolate,1622.40,207,Big Lots
Steak,492.55,168,Trader Joe
Salad,4936.34,70,Aldi
Curry,2056.75,200,Big Lots
Curry,850.68,69,Big Lots
Cheese,3104.39,50,Whole Foods
Steak,2908.04,211,Trader Joe
Steak,4700.54,231,Trader Joe
Bacon,4561.78,38,Whole Foods
Bacon,2052.24,5,Whole Foods
Curry,2411.51,136,Big Lots
Curry,2392.94,178,Trader Joe
Sandwich,653.89,27,Trader Joe
Bacon,3756.81,213,Aldi
Burrito,3843.78,32,Whole Foods
Potatoe,4732.08,160,Walmart
Cheese,1936.14,68,Big Lots
Sandwich,4659.60,60,Big Lots
Spaghetti,2590.55,16,Trader Joe
Bacon,1864.13,48,Walmart
Steak,1365.03,126,Whole Foods
Bacon,3462.40,192,Walmart
Cheese,2310.39,167,Whole Foods
Burrito,2558.60,20,Trader Joe
Pizza,3346.57,97,Trader Joe
Chocolate,3680.09,136,Big Lots
Chicken,4567.36,128,Whole Foods
Hamburger,3435.65,105,Walmart
Chicken,4689.60,93,Big Lots
Salad,4625.76,127,Whole Foods
Potatoe,4377.05,216,Walmart
Sandwich,3779.51,131,Walmart
Cheese,2603.81,232,Walmart
Salad,2052.49,89,Big Lots
Bacon,3711.68,95,Walmart
Burrito,914.96,236,Whole Foods
Curry,2245.53,157,Trader Joe
Chocolate,346.98,99,Target
Curry,4389.89,97,Big Lots
Burrito,4311.55,88,Target
Spaghetti,77.24,78,Whole Foods
Curry,4115.47,204,Whole Foods
Burrito,3925.08,8,Big Lots
Pizza,1183.70,248,Walmart
Sandwich,2896.83,97,Whole Foods
Burrito,2903.39,20,Aldi
Pizza,2657.49,63,Target
Cheese,95.23,84,Walmart
Bacon,111.94,69,Whole Foods
Spaghetti,3715.44,136,Walmart
Hamburger,3612.00,134,Walmart
Hamburger,4654.58,166,Trader Joe
Hamburger,4955.53,32,Target
Chocolate,340.32,102,Aldi
Pizza,4526.58,240,Big Lots
Bacon,223.56,140,Walmart
Spaghetti,1672.51,29,Big Lots
Spaghetti,2122.74,79,Walmart
Chocolate,4553.76,59,Big Lots
Curry,10.91,63,Target
Chicken,3821.99,191,Aldi
Potatoe,2585.37,144,Walmart
Cheese,1558.65,18,Whole Foods
Salad,4143.35,220,Target
Watermelon,2080.01,37,Big Lots
Salad,2521.92,129,Walmart
Sandwich,4649.64,59,Trader Joe
Pizza,1161.48,95,Aldi
Watermelon,2229.78,14,Target
Bacon,1981.30,207,Aldi
Hamburger,3728.09,113,Target
Pizza,1324.20,165,Big Lots
Spaghetti,3482.04,106,Big Lots
Sandwich,3860.45,186,Walmart
Burrito,699.24,20,Walmart
Salad,2167.27,211,Target
Spaghetti,4637.51,204,Target
Pizza,2514.43,2,Whole Foods
Spaghetti,1771.44,9,Trader Joe
Burrito,214.40,232,Big Lots
Spaghetti,476.39,238,Big Lots
Hamburger,1663.37,5,Big Lots
Salad,2913.80,210,Target
Pizza,3538.30,1,Target
Steak,2818.03,18,Trader Joe
Sandwich,78.16,180,Walmart
Curry,2549.00,101,Walmart
Steak,2546.96,112,Whole Foods
Hamburger,3291.45,123,Trader Joe
Sandwich,4194.59,154,Aldi
Curry,3144.23,40,Trader Joe
Spaghetti,818.48,127,Target
Spaghetti,1992.03,72,Aldi
Burrito,221.39,242,Trader Joe
Cheese,6.85,17,Trader Joe
Sandwich,678.47,226,Whole Foods
Spaghetti,1829.65,5,Whole Foods
Steak,4089.07,100,Target
Bacon,1499.62,30,Trader Joe
Chocolate,517.51,37,Big Lots
Curry,1491.77,147,Big Lots
Hamburger,114.86,147,Target
Pizza,2045.92,244,Walmart
Pizza,928.56,114,Aldi
Cheese,80.47,230,Walmart
Chocolate,2587.65,212,Walmart
Sandwich,1333.06,186,Whole Foods
Steak,3894.73,178,Whole Foods
Watermelon,824.40,79,Walmart
Potatoe,2781.11,122,Big Lots
Burrito,788.08,67,Trader Joe
Sandwich,3371.07,144,Big Lots
Watermelon,4068.70,235,Trader Joe
Watermelon,3766.31,158,Big Lots
Pizza,4813.16,61,Big Lots
Watermelon,4558.33,180,Aldi
Curry,1440.45,189,Big Lots
Cheese,4462.26,96,Trader Joe
Bacon,3466.14,176,Trader Joe
Curry,746.16,136,Walmart
Salad,451.10,109,Target
Chicken,2592.58,139,Target
Salad,288.90,231,Aldi
Steak,1728.86,168,Aldi
Pizza,4421.71,136,Aldi
Steak,4765.11,146,Big Lots
Hamburger,3636.38,1,Walmart
Watermelon,3594.42,121,Aldi
Bacon,1462.49,234,Trader Joe
Chocolate,4858.60,117,Aldi
Curry,4273.31,146,Big Lots
Pizza,4236.04,99,Target
Cheese,2436.55,135,Big Lots
Hamburger,3407.33,189,Target
Burrito,1133.34,5,Whole Foods
Bacon,3351.22,78,Target
Pizza,3731.15,205,Walmart
Chicken,4550.57,244,Walmart
Salad,4395.33,140,Whole Foods
Curry,4586.79,48,Target
Hamburger,190.62,37,Target
Chocolate,111.05,82,Trader Joe
Curry,1477.62,184,Trader Joe
Salad,4925.19,157,Trader Joe
Hamburger,1145.56,126,Walmart
Curry,1014.31,187,Big Lots
Watermelon,2049.32,180,Walmart
Chocolate,2862.60,102,Target
Burrito,4898.52,245,Whole Foods
Watermelon,3042.21,226,Walmart
Potatoe,3534.24,240,Trader Joe
Potatoe,4238.17,153,Whole Foods
Salad,2177.80,238,Aldi
Chicken,2519.20,173,Walmart
Steak,1471.61,47,Walmart
Sandwich,3656.28,148,Target
Burrito,3670.50,226,Whole Foods
Hamburger,3469.38,66,Walmart
Cheese,795.27,248,Whole Foods
Burrito,4833.53,228,Target
Sandwich,2803.79,95,Trader Joe
Salad,2634.60,175,Big Lots
Pizza,3820.39,169,Walmart
Bacon,2588.34,128,Trader Joe
Spaghetti,2091.41,191,Whole Foods
Potatoe,1558.67,246,Whole Foods
Curry,3445.40,67,Whole Foods
Cheese,3540.77,197,Whole Foods
Hamburger,957.67,123,Target
Bacon,3029.18,13,Aldi
Steak,2055.48,245,Walmart
Chocolate,3932.86,243,Target
Spaghetti,778.30,94,Whole Foods
Sandwich,3533.34,231,Big Lots
Salad,363.46,16,Whole Foods
Chicken,2204.64,98,Whole Foods
Potatoe,2180.44,220,Big Lots
Chicken,996.29,87,Trader Joe
Sandwich,2587.21,51,Target
Cheese,324.10,19,Trader Joe
Steak,4825.34,77,Target
Steak,3441.18,172,Walmart
Spaghetti,3357.03,132,Aldi
Salad,905.29,27,Target
Potatoe,2936.72,242,Aldi
Hamburger,3946.10,150,Aldi
Watermelon,4369.52,223,Whole Foods
Spaghetti,3316.48,16,Big Lots
Curry,1996.75,127,Aldi
Cheese,344.79,116,Whole Foods
Salad,1838.17,99,Walmart
Chocolate,3519.83,10,Trader Joe
Cheese,3854.02,77,Whole Foods
Burrito,1787.90,91,Big Lots
Potatoe,3810.27,146,Whole Foods
Sandwich,4944.87,24,Trader Joe
Chicken,1495.35,145,Trader Joe
Burrito,1948.03,242,Aldi
Steak,715.74,173,Target
Hamburger,2258.04,146,Target
Steak,613.30,148,Trader Joe
Potatoe,2913.69,75,Whole Foods
Potatoe,2363.19,249,Whole Foods
Watermelon,1702.71,230,Target
Watermelon,2568.76,47,Trader Joe
Chicken,3503.18,54,Trader Joe
Chicken,1274.54,74,Whole Foods
Watermelon,503.19,66,Target
Salad,4672.87,17,Whole Foods
Steak,4294.45,226,Big Lots
Hamburger,1696.75,180,Whole Foods
Pizza,4277.01,112,Target
Burrito,1436.58,169,Target
Cheese,1726.72,69,Walmart
Chicken,3380.01,89,Target
Cheese,3077.86,209,Target
Spaghetti,378.46,33,Trader Joe
Bacon,353.17,223,Trader Joe
Cheese,4733.10,173,Target
Curry,1295.11,211,Trader Joe
Bacon,1167.40,245,Target
Curry,4062.27,178,Whole Foods
Chocolate,3661.62,120,Target
Pizza,2446.89,243,Walmart
Watermelon,1387.53,139,Whole Foods
Chicken,2487.92,137,Walmart
Bacon,3680.77,202,Walmart
Spaghetti,4179.19,130,Big Lots
Chicken,624.51,27,Big Lots
Chocolate,2221.93,158,Whole Foods
Watermelon,80.71,120,Big Lots
Chicken,606.75,238,Big Lots
Bacon,1256.08,218,Walmart
Hamburger,1638.18,193,Walmart
Bacon,48.27,15,Trader Joe
Cheese,2105.37,157,Big Lots
Burrito,4490.76,81,Whole Foods
Hamburger,1890.63,188,Walmart
Curry,4022.61,17,Big Lots
Bacon,3917.27,4,Trader Joe
Curry,1589.83,108,Trader Joe
Steak,3689.09,116,Aldi
Salad,4278.57,98,Walmart
Burrito,2905.57,245,Whole Foods
Chicken,3975.74,134,Target
Potatoe,2840.79,40,Whole Foods
Watermelon,1547.53,142,Target
Hamburger,862.74,75,Big Lots
Pizza,2720.55,120,Whole Foods
Watermelon,266.11,44,Aldi
Sandwich,4085.10,140,Big Lots
Burrito,1606.05,64,Big Lots
Chicken,2440.62,20,Walmart
Salad,4571.35,137,Walmart
Hamburger,4669.14,73,Big Lots
Chocolate,2279.03,219,Walmart
Sandwich,2485.04,119,Target
Curry,3908.03,99,Walmart
Hamburger,4836.98,82,Whole Foods
Steak,4204.10,170,Aldi
Bacon,3874.19,95,Walmart
Potatoe,1235.42,70,Trader Joe
Curry,4047.32,210,Walmart
Salad,4612.14,26,Walmart
Sandwich,1210.04,12,Aldi
Curry,1121.22,140,Whole Foods
Cheese,1103.72,192,Trader Joe
Potatoe,63.91,9,Target
Pizza,2176.88,131,Big Lots
Sandwich,2322.77,34,Aldi
Chicken,3146.93,66,Target
Spaghetti,4414.45,129,Trader Joe
Watermelon,1061.48,241,Whole Foods
Pizza,3864.76,37,Trader Joe
Chicken,4969.76,217,Walmart
Potatoe,2065.28,11,Target
Chicken,3931.01,159,Target
Steak,1354.50,2,Trader Joe
Steak,170.98,243,Big Lots
Chicken,2849.48,248,Walmart
Pizza,4384.71,51,Whole Foods
Bacon,778.49,47,Trader Joe
Pizza,2029.88,79,Aldi
Hamburger,3532.74,121,Walmart
Cheese,4691.37,61,Aldi
Sandwich,654.30,51,Whole Foods
Steak,2338.24,120,Big Lots
Cheese,3173.65,51,Whole Foods
Curry,2645.76,207,Aldi
Hamburger,1657.67,216,Walmart
Chocolate,4416.54,61,Walmart
Curry,4317.72,189,Aldi
Sandwich,4289.24,161,Trader Joe
Hamburger,1649.97,106,Trader Joe
Sandwich,3297.62,209,Walmart
Hamburger,4218.07,222,Aldi
Sandwich,1625.96,200,Target
Salad,4953.38,7,Walmart
Salad,2578.18,245,Aldi
Pizza,3843.33,2,Target
Pizza,1658.02,157,Whole Foods
Curry,4691.34,41,Trader Joe
Curry,4887.23,9,Trader Joe
Sandwich,2411.96,143,Aldi
Sandwich,1556.86,187,Whole Foods
Burrito,1878.31,74,Whole Foods
Burrito,4564.22,156,Target
Cheese,1024.63,66,Big Lots
Watermelon,2343.88,32,Walmart
Pizza,2683.01,183,Trader Joe
Hamburger,4357.79,146,Target
Steak,4524.27,37,Aldi
Potatoe,3810.76,5,Big Lots
Curry,1450.47,104,Walmart
Chocolate,386.42,93,Whole Foods
Sandwich,1006.46,230,Whole Foods
Pizza,1492.44,123,Trader Joe
Cheese,4232.37,20,Big Lots
Salad,110.61,207,Aldi
Steak,2359.42,23,Trader Joe
Potatoe,777.01,114,Trader Joe
Chicken,869.81,229,Trader Joe
Potatoe,3097.44,197,Aldi
Chocolate,3149.69,208,Target
Salad,2357.25,52,Trader Joe
Spaghetti,4740.13,214,Aldi
Hamburger,3762.94,143,Big Lots
Potatoe,3962.81,89,Aldi
Sandwich,1365.94,11,Target
Curry,4313.11,24,Walmart
Chicken,2221.27,53,Trader Joe
Salad,2808.59,210,Target
Potatoe,2214.78,218,Big Lots
Curry,4283.90,131,Aldi
Chocolate,13.23,111,Trader Joe
Bacon,3445.99,149,Target
Spaghetti,1114.93,159,Walmart
Curry,125.85,227,Whole Foods
Hamburger,3324.03,2,Walmart
Burrito,2452.51,57,Walmart
Sandwich,32.05,208,Whole Foods
Potatoe,3925.51,145,Trader Joe
Chocolate,4525.02,149,Whole Foods
Curry,3686.24,136,Whole Foods
Watermelon,3897.13,218,Trader Joe
Spaghetti,3683.32,219,Aldi
Burrito,2864.87,177,Aldi
Burrito,3315.15,173,Whole Foods
Sandwich,1842.97,153,Walmart
Watermelon,700.22,126,Aldi
Bacon,2515.61,49,Aldi
Sandwich,2566.15,35,Whole Foods
Sandwich,1776.79,183,Aldi
Sandwich,945.73,78,Whole Foods
Spaghetti,2397.97,209,Walmart
Burrito,3093.91,66,Target
Pizza,397.10,185,Trader Joe
Curry,773.84,106,Target
Sandwich,298.99,70,Trader Joe
Bacon,3454.13,67,Aldi
Chicken,672.29,174,Walmart
Salad,2193.00,234,Target
Bacon,3280.81,64,Big Lots
Potatoe,129.89,178,Walmart
Burrito,991.94,237,Walmart
Spaghetti,1160.94,58,Aldi
Hamburger,2926.89,152,Whole Foods
Chicken,4286.05,76,Walmart
Potatoe,4306.86,12,Whole Foods
Cheese,3909.47,172,Walmart
Chocolate,4040.24,169,Whole Foods
Cheese,1833.58,154,Trader Joe
Salad,1628.70,227,Target
Potatoe,2942.21,5,Walmart
Chicken,3434.76,2,Walmart
Sandwich,2921.03,97,Trader Joe
Watermelon,4249.78,46,Big Lots
Curry,2499.63,187,Whole Foods
Pizza,2589.11,134,Walmart
Chicken,261.85,150,Whole Foods
Cheese,3003.62,153,Big Lots
Watermelon,12.11,118,Target
Salad,1655.22,39,Trader Joe
Spaghetti,2171.21,184,Target
Sandwich,803.41,188,Trader Joe
Salad,306.16,218,Big Lots
Potatoe,3807.57,241,Whole Foods
Salad,478.91,137,Target
Sandwich,3723.60,128,Target
Potatoe,3722.08,174,Whole Foods
Chocolate,305.39,33,Walmart
Hamburger,2833.94,141,Whole Foods
Curry,1518.01,198,Trader Joe
Steak,4950.45,21,Aldi
Watermelon,3621.46,217,Whole Foods
Pizza,805.97,74,Walmart
Burrito,931.56,5,Trader Joe
Sandwich,1913.34,187,Aldi
Salad,3279.37,250,Whole Foods
Chicken,3791.25,74,Trader Joe
Spaghetti,1418.99,90,Aldi
Potatoe,3658.20,155,Whole Foods
Burrito,4360.90,230,Trader Joe
Burrito,3892.39,210,Target
Spaghetti,1777.65,224,Aldi
Pizza,3672.71,66,Big Lots
Burrito,328.56,188,Trader Joe
Steak,581.11,180,Target
Chocolate,935.31,45,Trader Joe
Hamburger,2274.73,140,Big Lots
Steak,1498.64,110,Walmart
Burrito,4178.31,26,Aldi
Pizza,3420.40,7,Target
Chocolate,4062.71,154,Whole Foods
Hamburger,2689.05,49,Big Lots
Chicken,144.12,105,Whole Foods
Chicken,4560.75,107,Big Lots
Chicken,4464.90,140,Big Lots
Steak,1359.19,127,Trader Joe
Bacon,4204.00,64,Trader Joe
Hamburger,177.60,182,Whole Foods
Chocolate,3150.03,18,Whole Foods
Chicken,2146.05,250,Whole Foods
Spaghetti,3637.46,151,Whole Foods
Steak,4573.53,214,Big Lots
Pizza,4332.40,231,Big Lots
Pizza,3396.60,169,Aldi
Bacon,1490.19,191,Whole Foods
Curry,4247.42,134,Target
Salad,3670.24,155,Big Lots
Cheese,1676.53,172,Trader Joe
Salad,432.36,135,Aldi
Potatoe,4730.10,115,Target
Cheese,2112.33,208,Walmart
Pizza,742.28,57,Target
Curry,956.69,128,Trader Joe
Sandwich,1675.33,14,Walmart
Chocolate,4705.45,175,Target
Burrito,2951.16,28,Big Lots
Chicken,625.00,168,Walmart
Cheese,3526.43,88,Big Lots
Bacon,991.66,88,Target
Pizza,1871.00,106,Target
Steak,4492.88,17,Aldi
Cheese,3342.29,18,Walmart
Curry,4683.98,28,Whole Foods
Sandwich,4962.68,49,Aldi
Bacon,4258.05,88,Big Lots
Spaghetti,679.65,102,Aldi
Chicken,3100.13,43,Big Lots
Steak,3087.81,167,Walmart
Burrito,4378.92,96,Aldi
Pizza,4013.97,123,Walmart
Spaghetti,285.70,184,Whole Foods
Watermelon,3072.65,94,Big Lots
Chocolate,3124.74,132,Whole Foods
Watermelon,1927.24,217,Target
Cheese,2445.63,134,Target
Watermelon,236.31,49,Aldi
Potatoe,4019.16,48,Target
Hamburger,1855.44,37,Aldi
Steak,207.26,224,Big Lots
Burrito,4878.51,234,Big Lots
Bacon,3900.97,54,Trader Joe
Sandwich,301.90,102,Aldi
Curry,4655.78,212,Walmart
Burrito,3147.02,191,Target
Potatoe,136.85,22,Trader Joe
Chicken,4289.39,222,Big Lots
Hamburger,320.78,199,Whole Foods
Cheese,3531.96,62,Walmart
Salad,4663.42,208,Trader Joe
Potatoe,4623.72,144,Trader Joe
Sandwich,4282.74,230,Target
Pizza,1699.17,166,Walmart
Burrito,215.11,113,Target
Burrito,3754.15,200,Whole Foods
Sandwich,2404.99,224,Aldi
Curry,2941.26,68,Trader Joe
Spaghetti,39.52,184,Trader Joe
Salad,2997.21,160,Big Lots
Cheese,1049.57,25,Walmart
Cheese,2228.97,37,Whole Foods
Potatoe,2782.88,174,Aldi
Bacon,3471.73,162,Whole Foods
Sandwich,461.90,55,Walmart
Chocolate,777.33,139,Target
Chocolate,1234.40,195,Aldi
Watermelon,2631.88,116,Aldi
Hamburger,1932.23,58,Whole Foods
Steak,4302.45,144,Whole Foods
Burrito,3384.62,43,Walmart
Steak,1692.46,189,Trader Joe
Sandwich,177.67,165,Whole Foods
Burrito,389.46,24,Big Lots
Salad,4633.80,119,Walmart
Cheese,1965.56,51,Walmart
Hamburger,1797.77,193,Walmart
Potatoe,2598.48,245,Aldi
Curry,3516.45,203,Whole Foods
Potatoe,509.27,131,Big Lots
Bacon,332.97,2,Target
Potatoe,349.80,159,Aldi
Hamburger,203.65,213,Walmart
Chicken,3365.77,62,Walmart
Pizza,2442.90,62,Walmart
Curry,4472.81,204,Target
Pizza,1390.82,52,Trader Joe
Salad,3438.93,227,Target
Hamburger,519.49,43,Target
Hamburger,4054.97,68,Big Lots
Bacon,753.56,42,Whole Foods
Cheese,1454.17,197,Target
Hamburger,3121.69,223,Target
Potatoe,4453.94,68,Aldi
Salad,2072.05,101,Target
Steak,1189.65,173,Walmart
Chicken,695.92,21,Trader Joe
Watermelon,1941.12,184,Whole Foods
Watermelon,279.84,78,Walmart
Chocolate,3011.56,86,Walmart
Sandwich,3195.65,184,Whole Foods
Sandwich,4369.70,202,Big Lots
Pizza,4267.63,93,Walmart
Bacon,2602.67,147,Target
Pizza,2189.52,149,Target
Chicken,3235.92,71,Aldi
Potatoe,595.40,66,Target
Curry,3263.75,240,Walmart
Hamburger,3082.67,88,Trader Joe
Chicken,2687.30,65,Walmart
Chicken,4771.51,43,Aldi
Pizza,1260.82,147,Whole Foods
Potatoe,346.99,171,Big Lots
Chicken,4021.43,138,Target
Salad,2195.90,197,Aldi
Cheese,3888.87,192,Aldi
Burrito,1706.86,167,Big Lots
Chicken,69.30,198,Trader Joe
Salad,3324.89,172,Big Lots
Chicken,4473.78,237,Trader Joe
Watermelon,1649.56,125,Big Lots
Potatoe,1426.21,95,Trader Joe
Spaghetti,2263.14,195,Aldi
Cheese,2910.36,243,Big Lots
Pizza,3258.72,104,Walmart
Salad,3214.29,146,Trader Joe
Cheese,2645.85,235,Big Lots
Watermelon,2702.97,133,Target
